Symbol,Script
MKLB,"Manakamana Smart Laghubitta Bittiya Sanstha Limited"
MLBBL,"Mithila Laghubitta Bittiya Sanstha Limited"
MLBBLP,"Mithila Laghubitta Bikas Bank Ltd. Promoter Share"
MLBL,"Mahalaxmi Bikas Bank Ltd."
MLBL1,"Mahalaxmi Bikasbank Limited"
MLBLPO,"Mahalxmi Bikas Bank Ltd. Promotor Share"
MLBS,"Manushi Laghubitta Bittiya Sanstha Limited"
MLBSL,"Mahila Lagubitta Bittiya Sanstha Limited"
MMDBL,"Mount Makalu Development Bank Ltd."
MMF1,"Mega Mutual Fund -1"
MMFDB,"Mirmire Laghubitta Bittya Sanstha Limited"
MMFDBP,"Mirmire Microfinance Development Bank Ltd. Promoter Share"
MMKJL,"Mathillo Mailun Khola Jalvidhyut Limited"
MNBBL,"Muktinath Bikas Bank Ltd."
MNBBLP,"Muktinath Bikas Bank Ltd. Promoter Share"
MPFL,"Multipurpose Finance Company Limited"
MPFLPO,"Multipurpose Finance Company Limited Promoter Share"
MSBBL,"Manaslu Bikas Bank Ltd."
MSHL,"Mid Solu Hydropower Limited"
MSLB,"Mahuli Laghubitta Bittiya Sanstha Limited"
MSLBP,"Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd Promoter Share"
MSM,"Morang Sugar Mills Limited"
MSMBS,"Mahila Sahayatra Microfinance Bittiya Sanstha Ltd."
MTBL,"Matribhumi Development Bank Ltd."
NABB,"Nepal Aawas Finance Limited"
NABBC,"Narayani Development Bank Limited"
NABBCP,"Narayani Development Bank Limited Promoter"
NABBPO,"Nepal Aawas Finance Limited Promoter Share"
NABIL,"Nabil Bank Limited"
NABILP,"Nabil Bank Limited Promotor Share"
NADDF,"Nic Asia Debt Fund"
NADEP,"Nadep Laghubittiya Bittya Sanstha Ltd."
NAGRO,"Nepal Agro Laghubitta Bittiya Sanstha Limited"
NBB,"Nepal Bangladesh Bank Limited"
NBBD2085,"10.25% Nbbl Debenture 2085"
NBBL,"Nagbeli Laghubitta Bikas Bank Ltd."
NBBLPO,"Nagbeli Laghubitta Bikas Bank Ltd. Promoter Share"
NBBPO,"Nepal Bangladesh Bank Limited Promoter Share"
NBBU,"Nepal Bitumin And Barrel Udhyog Limited"
NBCK,"Nepal Byapar Bikash Company(Koshi) Limited"
NBF1,"Nabil Balance Fund 1"
NBF2,"Nabil Balanced Fund-2"
NBF3,"Nabil Balanced Fund-3"
NBFL,"Nepal Bangladesh Finance & Leasing Co. Ltd."
NBILPO,"Nb Insurance Co. Ltd. Promoter Share"
NBL,"Nepal Bank Limited"
NBLD82,"10% Nabil Debenture 2082"
NBLD85,"Nabil Debenture 2085"
NBLD87,"8.5% Nepal Bank Debenture 2087"
NBSL,"Namaste Bittiya Sanstha Ltd."
NCCB,"Nepal Credit And Commercial Bank Limited"
NCCBPO,"Nepal Credit & Commercial Bank Ltd. Promoter Share"
NCCD86,"9.5% Ncc Debenture 2086"
NCDB,"Nepal Community Development Bank Ltd."
NCDBL,"Nepal Consumer Development Bank Ltd."
NCDBPO,"Nepal Community Development Bank Ltd. Promoter Share"
NCM,"Nidc Capital Markets Ltd."
NCMMF,"Ncm Mutual Fund"
NCMPO,"Nidc Capital Markets Ltd. Promoter Share"
NDB,"Nepal Development Bank Limited"
NDBPO,"Nepal Development Bank Limited Promoter Share"
NDEP,"Ndep Development Bank"
NDFL,"Nava Durga Finance Co. Ltd."
NEF,"Nabil Equity Fund"
NEFL,"Nepal Express Finance Ltd."
NEFLPO,"Nepal Express Finance Limited Promoter Share"
NESDO,"Nesdo Sambridha Laghubitta Bittiya Sanstha Limited"
NFC,"National Finance Co. Ltd"
NFCF,"Nabil Flexi Cap Fund"
NFD,"Nepal Film Development Company Limited"
NFL,"Narayani Finance Ltd."
NFS,"Nepal Finance Ltd."
NFSPO,"Nepal Finance Ltd. Promoter Share"
NGBBL,"Nepal Grameen Bikas Bank Ltd."
NGBBLP,"Nepal Grameen Bikas Bank Ltd.-P"
NGBL,"Nilgiri Bikas Bank Limited"
NGPL,"Ngadi Group Power Ltd."
NHDL,"Nepal Hydro Developers Ltd."
NHMF,"Nepal Housing & Merchant Finance Ltd."
NHMFPO,"Nepal Housing & Merchant Co. Ltd. Promoter Share"
NHPC,"National Hydro Power Company Limited"
NIB,"Nepal Investment Bank Limited"
NIBD2082,"10.5 % Nepal Investment Debenture 2082"
NIBD84,"8.5% Nepal Investment Bank Debenture 2084"
NIBLGF,"NIBL Growth Fund"
NIBLPF,"Nibl Pragati Fund"
NIBLSF,"Nibl Sahabhagita Fund"
NIBPO,"Nepal Investment Bank Ltd. Promoter Share"
NIBSF1,"Nibl Samriddhi Fund 1"
NIBSF2,"Nibl Samriddhi Fund -2"
NICA,"Nic Asia Bank Ltd."
NICAD8182,"Nic Asia Debenture 2081/82"
NICAD8283,"11% Nic Asia Debenture 082/83"
NICAP,"Nic Asia Bank Limted Promoter Share"
NICB,"Nepal Ind & Commerc.Bank"
NICBF,"Nic Asia Balanced Fund"
NICD83/84,"10.25% Nic Asia Debenture 2083/84"
NICFC,"Nic Asia Flexi Cap Fund"
NICGF,"Nic Asia Growth Fund"
NICL,"Nepal Insurance Co. Ltd."
NICLBSL,"Nic Asia Laghubitta Bittiya Sanstha Limited"
NICLBSLP,"Nic Asia Laghubitta bittya Sanstha Limited Promoter Share"
NICLPO,"Nepal Insurance Co. Ltd Promoter Share"
NICSF,"Nic Asia Select Fund 30"
NIDC,"Nidc Development Bank Ltd."
NIFRA,"Nepal Infrastructure Bank Limited"
NIFRAUR85/86,"NIFRA Uraj Rinpatra7%-2085/86"
NIL,"Neco Insurance Limited"
NILPO,"Neco Insurace Co. Ltd. Promoter"
NIMB,"Nepal Investment Mega Bank Limited"
NIMBPO,"Nepal Investment Mega Bank Ltd. Promoter Share"
NKU,"Nepal Khadya Udhyog Limited"
NLBBL,"Nerude Laghubitta Bittiya Sanstha Limited"
NLBBLP,"Nerude Laghubita Bikas Bank Limited Promoter Share"
NLG,"Nlg Insurance Company Ltd."
NLGPO,"Nlg Insurance Company Ltd. Promoter Share"
NLIC,"Nepal Life Insurance Co. Ltd."
NLICL,"National Life Insurance Co. Ltd."
NLICLP,"National Life Insurance Co. Ltd. Promoter Share"
NLICP,"Nepal Life Insurance Co. Ltd. Promoter"
NLO,"Nepal Lube Oil Limited"
NMB,"Nmb Bank Limited"
NMB50,"Nmb 50"
NMBD2085,"10 % Nmb Debenture 2085"
NMBD87/88,"Nmb Debenture 8.50% - 2087/88"
NMBHF1,"Nmb Hybrid Fund L-1"
NMBMF,"Nmb Microfinance Bittiya Sanstha Ltd."
NMBPO,"Nmb Bank Limited Promoter Share"
NMBSBF,"NMB Saral Bachat Fund - E"
NMBSBFE,"Nmb Saral Bachat Fund E"
NMBSF1,"Nmb Sulav Investment Fund-1"
NMFBS,"National Microfinance Laghubitta Bittiya Sanstha Limited"
NMFBSP,"National Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share"
NNFC,"Narayani National Finance Limited"
NNFCPO,"Narayani National Finance Company Limited Promoter Share"
NNLB,"Naya Nepal Laghubitta Bikas Bank Ltd."
NNLBPO,"Naya Nepal Laghubitta Bikas Bank Ltd. Promoter Share"
NRIC,"Nepal Reinsurance Company Limited"
NRICP,"Nepal Reinsurance Company Limited Promoter Share"
NRM,"Nepal Republic Media Limited"
NRN,"Nrn Infrastructure And Development Limited"
NSIF2,"NMB Sulav Investment Fund - 2"
NSLB,"Naya Sarathi Laghubitta Bittiya Sanstha Limited"
NSLBP,"Naya Sarathi Laghubitta Bittiya Sanstha Limited Promoter Share"
NSLMB,"Nepal Shree Lanka Merchant Banking & Finance Ltd"
NSM,"Nepal Share Markets Ltd."
NSMPO,"Nepal Share Markets Limited Promoter Share"
NTC,"Nepal Doorsanchar Company Limited"
NTL,"Nepal Tading Limited"
NUBL,"Nirdhan Utthan Laghubitta Bittiya Sanstha Limited"
NUBLPO,"Nirdhan Utthan Bank Limited Promoter Share"
NVG,"Nepal Vanaspati Ghee Udhyog Limited"
NWC,"Nepal Welfare Company Limited"
NWCL,"Nepal Warehousing Company Limited"
NYADI,"Nyadi Hydropower Limited"
ODBL,"Om Development Bank Ltd."
ODBLPO,"Om Development Bank Ltd. Promoter Share"
OFL,"Om Finance Ltd."
OFLPO,"Om Finance Limited Promoter Share"
OHL,"Oriental Hotels Limited"
PADBL,"Pacific Development Bank Limited"
PADBLP,"Pacific Development Bank Ltd. Promoter Share"
PBD85,"8.75 % Prime Debenture 2085"
PBD88,"10% Prime Debenture 2088"
PBLD84,"10% Prabhu Bank Debenture 2084"
PBLD86,"10.25% Prabhu Bank Debenture 2086"
PBLD87,"8.5% Prabhu Bank Debenture 2087"
PBSL,"Pathibhara Bikas Bank Limited"
PCBL,"Prime Commercial Bank Ltd."
PCBLP,"Prime Commercial Bank Promoter Share"
PDB,"Public Development Bank Limited"
PDBL,"Paschimanchal Bikash Bank Limited"
